1333 東証1部 マルハニチロ(株)（水産・農林業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","3430","3435","3385","3415","215000","3415"
"2018-01-05","3430","3440","3405","3415","187700","3415"
"2018-01-09","3385","3410","3370","3390","256700","3390"
"2018-01-10","3400","3430","3390","3390","219500","3390"
"2018-01-11","3370","3375","3320","3325","259100","3325"
"2018-01-12","3305","3310","3260","3270","272600","3270"
"2018-01-15","3255","3280","3220","3260","149500","3260"
"2018-01-16","3250","3265","3240","3260","167600","3260"
"2018-01-17","3250","3260","3215","3235","216500","3235"
"2018-01-18","3235","3245","3175","3180","317600","3180"
"2018-01-19","3170","3220","3160","3190","157300","3190"
"2018-01-22","3220","3285","3200","3255","378800","3255"
"2018-01-23","3240","3255","3225","3240","267700","3240"
"2018-01-24","3245","3255","3230","3245","166500","3245"
"2018-01-25","3220","3290","3210","3280","262500","3280"
"2018-01-26","3280","3305","3265","3285","215500","3285"
"2018-01-29","3285","3300","3250","3255","145300","3255"
"2018-01-30","3255","3265","3215","3240","169400","3240"
"2018-01-31","3240","3270","3210","3215","206900","3215"
"2018-02-01","3225","3255","3220","3245","131900","3245"
"2018-02-02","3230","3240","3200","3210","175700","3210"
"2018-02-05","3185","3220","3135","3135","258100","3135"
"2018-02-06","3100","3285","3095","3255","858400","3255"
"2018-02-07","3280","3385","3270","3325","552300","3325"
"2018-02-08","3330","3380","3320","3360","311100","3360"
"2018-02-09","3270","3295","3210","3275","466500","3275"
"2018-02-13","3300","3300","3205","3210","250100","3210"
"2018-02-14","3210","3230","3150","3175","300700","3175"
"2018-02-15","3180","3225","3160","3165","214700","3165"
"2018-02-16","3200","3275","3185","3250","172000","3250"
"2018-02-19","3275","3340","3270","3330","137100","3330"
"2018-02-20","3320","3355","3310","3345","137600","3345"
"2018-02-21","3300","3330","3280","3310","172600","3310"
"2018-02-22","3255","3255","3220","3225","196600","3225"
"2018-02-23","3225","3240","3205","3215","213500","3215"
"2018-02-26","3255","3260","3220","3220","131300","3220"
"2018-02-27","3245","3245","3190","3195","151300","3195"
"2018-02-28","3190","3210","3155","3160","276300","3160"
"2018-03-01","3175","3215","3160","3180","217500","3180"
"2018-03-02","3165","3200","3160","3175","215300","3175"
"2018-03-05","3165","3210","3165","3200","174300","3200"
"2018-03-06","3230","3305","3230","3285","294300","3285"
"2018-03-07","3290","3330","3275","3300","216400","3300"
"2018-03-08","3275","3295","3255","3275","201200","3275"
"2018-03-09","3290","3335","3255","3260","317400","3260"
"2018-03-12","3275","3280","3230","3250","141800","3250"
"2018-03-13","3245","3285","3235","3270","112400","3270"
"2018-03-14","3280","3325","3275","3315","146600","3315"
"2018-03-15","3310","3315","3240","3270","172300","3270"
"2018-03-16","3280","3300","3265","3275","122000","3275"
"2018-03-19","3270","3295","3260","3275","137700","3275"
"2018-03-20","3270","3300","3250","3285","144500","3285"
"2018-03-22","3270","3300","3265","3290","175900","3290"
"2018-03-23","3260","3290","3255","3265","286700","3265"
"2018-03-26","3255","3280","3255","3275","265600","3275"
"2018-03-27","3275","3360","3275","3355","424700","3355"
"2018-03-28","3285","3325","3250","3320","263000","3320"
"2018-03-29","3335","3360","3325","3355","204400","3355"
"2018-03-30","3350","3420","3340","3400","280700","3400"
"2018-04-02","3365","3415","3365","3390","185600","3390"
"2018-04-03","3380","3475","3375","3465","285700","3465"
"2018-04-04","3480","3585","3465","3565","366800","3565"
"2018-04-05","3585","3600","3540","3550","295800","3550"
"2018-04-06","3550","3600","3525","3570","232400","3570"
"2018-04-09","3590","3620","3570","3610","255600","3610"
"2018-04-10","3620","3685","3575","3595","263000","3595"
"2018-04-11","3585","3585","3505","3560","181500","3560"
"2018-04-12","3545","3565","3505","3560","184600","3560"
"2018-04-13","3565","3565","3525","3545","190000","3545"
"2018-04-16","3565","3635","3555","3630","220500","3630"
"2018-04-17","3620","3645","3610","3630","135700","3630"
"2018-04-18","3635","3695","3635","3685","197200","3685"
"2018-04-19","3685","3720","3660","3715","174100","3715"
"2018-04-20","3730","3800","3715","3780","350200","3780"
"2018-04-23","3780","3785","3690","3695","185700","3695"
"2018-04-24","3675","3680","3605","3620","387100","3620"
"2018-04-25","3585","3665","3580","3635","269200","3635"
"2018-04-26","3645","3675","3625","3670","147800","3670"
"2018-04-27","3690","3695","3645","3685","162000","3685"
"2018-05-01","3665","3675","3640","3665","128100","3665"
"2018-05-02","3680","3715","3670","3690","177500","3690"
"2018-05-07","3700","3715","3665","3690","184700","3690"
"2018-05-08","3785","4010","3775","3900","708200","3900"
"2018-05-09","3955","4045","3950","4005","482100","4005"
"2018-05-10","3980","4035","3935","4010","259100","4010"
"2018-05-11","4030","4105","4000","4100","315000","4100"
"2018-05-14","4100","4140","4085","4095","241800","4095"
"2018-05-15","4090","4145","4055","4080","308700","4080"
"2018-05-16","4065","4110","4055","4080","221200","4080"
"2018-05-17","4110","4200","4095","4175","281600","4175"
"2018-05-18","4180","4230","4160","4175","254800","4175"
"2018-05-21","4150","4170","4105","4125","148500","4125"
"2018-05-22","4085","4085","4030","4065","260200","4065"
"2018-05-23","4050","4085","4020","4060","175000","4060"
"2018-05-24","4060","4140","4050","4110","236400","4110"
"2018-05-25","4065","4105","4040","4090","180000","4090"
"2018-05-28","4115","4125","4080","4090","151500","4090"
"2018-05-29","4090","4115","4075","4115","118200","4115"
"2018-05-30","4075","4130","4055","4115","177300","4115"
"2018-05-31","4100","4185","4100","4155","461000","4155"
"2018-06-01","4140","4245","4140","4140","249300","4140"
"2018-06-04","4155","4215","4130","4160","170900","4160"
"2018-06-05","4190","4190","4095","4125","172300","4125"
"2018-06-06","4105","4145","4060","4100","214800","4100"
"2018-06-07","4030","4060","3965","3970","376900","3970"
"2018-06-08","3960","4025","3945","3995","306800","3995"
"2018-06-11","4025","4095","4025","4085","197300","4085"
"2018-06-12","4105","4205","4080","4195","288300","4195"
"2018-06-13","4205","4325","4205","4270","359200","4270"
"2018-06-14","4290","4365","4260","4305","339200","4305"
"2018-06-15","4350","4415","4350","4355","484300","4355"
"2018-06-18","4370","4395","4300","4315","209000","4315"
"2018-06-19","4270","4285","4220","4230","221300","4230"
"2018-06-20","4220","4245","4175","4225","175100","4225"
"2018-06-21","4225","4300","4225","4240","226600","4240"
"2018-06-22","4255","4400","4255","4385","275700","4385"
"2018-06-25","4375","4375","4255","4265","213400","4265"
"2018-06-26","4320","4425","4320","4390","336900","4390"
"2018-06-27","4385","4500","4355","4490","272200","4490"
"2018-06-28","4520","4580","4475","4510","465600","4510"
"2018-06-29","4460","4490","4395","4455","328000","4455"
"2018-07-02","4435","4435","4285","4290","431100","4290"
"2018-07-03","4255","4295","4200","4250","375500","4250"
"2018-07-04","4195","4240","4145","4230","342400","4230"
"2018-07-05","4215","4225","4140","4170","288100","4170"
"2018-07-06","4240","4270","4185","4210","277400","4210"
"2018-07-09","4230","4240","4140","4155","264600","4155"
"2018-07-10","4155","4190","4045","4045","451900","4045"
"2018-07-11","4040","4045","3970","3980","377700","3980"
"2018-07-12","3935","4085","3915","4005","496500","4005"
"2018-07-13","4015","4070","3965","4035","381900","4035"
"2018-07-17","4010","4125","4000","4090","386500","4090"
"2018-07-18","4130","4180","4110","4120","250600","4120"
"2018-07-19","4075","4100","4030","4035","248500","4035"
"2018-07-20","4050","4135","4005","4050","490900","4050"
"2018-07-23","4050","4075","3995","4005","244800","4005"
"2018-07-24","4060","4080","4025","4055","171300","4055"
"2018-07-25","3985","4105","3980","4085","455100","4085"
"2018-07-26","4105","4175","4090","4165","321700","4165"
"2018-07-27","4180","4185","4100","4120","280200","4120"
"2018-07-30","4110","4145","4100","4120","269300","4120"
"2018-07-31","4120","4170","4065","4155","283000","4155"
"2018-08-01","4165","4200","4085","4125","383000","4125"
"2018-08-02","4125","4135","4040","4060","274000","4060"
"2018-08-03","4110","4110","3985","3995","253300","3995"
"2018-08-06","4010","4065","4010","4025","254800","4025"
"2018-08-07","3895","3900","3605","3820","715000","3820"
"2018-08-08","3805","3895","3705","3785","672800","3785"
"2018-08-09","3785","3850","3720","3835","569700","3835"
"2018-08-10","3875","3880","3810","3815","300500","3815"
"2018-08-13","3810","3810","3760","3760","196200","3760"
"2018-08-14","3770","3845","3765","3835","224600","3835"
"2018-08-15","3845","3885","3845","3875","198700","3875"
"2018-08-16","3900","3990","3825","3875","275400","3875"
"2018-08-17","3890","3900","3870","3880","147800","3880"
"2018-08-20","3890","3915","3840","3850","126800","3850"
"2018-08-21","3840","3870","3820","3860","121200","3860"
"2018-08-22","3835","3895","3835","3880","155500","3880"
"2018-08-23","3840","3880","3835","3835","145600","3835"
"2018-08-24","3855","3880","3840","3875","181700","3875"
"2018-08-27","3855","3895","3825","3855","178000","3855"
"2018-08-28","3830","3835","3750","3755","318700","3755"
"2018-08-29","3735","3780","3730","3755","199800","3755"
"2018-08-30","3825","3945","3810","3890","810800","3890"
"2018-08-31","3870","3885","3835","3855","236500","3855"
"2018-09-03","3855","3945","3855","3930","219700","3930"
"2018-09-04","3980","3980","3875","3900","159800","3900"
"2018-09-05","3880","3880","3790","3800","188200","3800"
"2018-09-06","3780","3815","3775","3775","227900","3775"
"2018-09-10","3845","3845","3780","3805","137100","3805"
"2018-09-11","3800","3860","3800","3825","153300","3825"
"2018-09-12","3800","3860","3790","3855","143700","3855"
"2018-09-13","3875","3950","3870","3915","177300","3915"
"2018-09-14","3935","3975","3905","3915","252800","3915"
"2018-09-18","3920","4045","3895","4040","249800","4040"
"2018-09-19","4060","4080","4030","4065","200900","4065"
"2018-09-20","4115","4125","4060","4095","213900","4095"
"2018-09-21","4140","4205","4105","4145","692500","4145"
"2018-09-25","4110","4140","4045","4085","449500","4085"
"2018-09-26","4090","4185","4060","4175","214700","4175"
"2018-09-27","4165","4170","4090","4125","221100","4125"
"2018-09-28","4145","4220","4125","4190","231100","4190"
"2018-10-01","4195","4210","4150","4180","199400","4180"
