3356 東証JQS (株)テリロジー（卸売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","8230","8870","8110","8690","343","86.9"
"2013-01-07","8720","8720","8370","8550","492","85.5"
"2013-01-08","8500","8680","8190","8280","528","82.8"
"2013-01-09","8430","8490","8190","8430","218","84.3"
"2013-01-10","8470","8600","8340","8540","182","85.4"
"2013-01-11","8500","8580","8400","8530","145","85.3"
"2013-01-15","8390","8660","8330","8660","541","86.6"
"2013-01-16","8640","8900","8520","8870","505","88.7"
"2013-01-17","8900","8900","8330","8570","616","85.7"
"2013-01-18","8580","8750","8400","8550","278","85.5"
"2013-01-21","8550","8770","8420","8570","233","85.7"
"2013-01-22","8690","8700","8500","8700","306","87"
"2013-01-23","8600","8740","8600","8720","389","87.2"
"2013-01-24","8660","8750","8580","8710","299","87.1"
"2013-01-25","8410","8660","8410","8600","480","86"
"2013-01-28","8670","8800","8610","8700","172","87"
"2013-01-29","8740","8800","8500","8600","483","86"
"2013-01-30","8610","9000","8610","8820","632","88.2"
"2013-01-31","8750","9300","8740","9000","558","90"
"2013-02-01","7800","8300","7540","7700","4503","77"
"2013-02-04","7790","7950","7710","7750","908","77.5"
"2013-02-05","8040","8040","7710","7800","313","78"
"2013-02-06","7820","7950","7700","7700","437","77"
"2013-02-07","7850","7850","7700","7710","107","77.1"
"2013-02-08","7710","7770","7580","7750","207","77.5"
"2013-02-12","7610","7740","7610","7650","159","76.5"
"2013-02-13","7600","7690","7380","7390","468","73.9"
"2013-02-14","7530","7600","7310","7600","202","76"
"2013-02-15","7370","7500","7110","7200","276","72"
"2013-02-18","7050","7440","7050","7180","175","71.8"
"2013-02-19","7170","7300","7170","7190","12","71.9"
"2013-02-20","7200","7330","7090","7120","88","71.2"
"2013-02-21","7140","7430","7140","7300","307","73"
"2013-02-22","7550","7680","7210","7680","372","76.8"
"2013-02-25","7680","7700","7450","7690","254","76.9"
"2013-02-26","7680","7750","7530","7690","194","76.9"
"2013-02-27","7620","7790","7620","7690","518","76.9"
"2013-02-28","7760","7790","7470","7690","174","76.9"
"2013-03-01","7690","7730","7530","7620","61","76.2"
"2013-03-04","7620","7800","7610","7670","173","76.7"
"2013-03-05","7700","8100","7650","8040","340","80.4"
"2013-03-06","7890","8300","7890","8070","333","80.7"
"2013-03-07","8070","8270","8000","8200","167","82"
"2013-03-08","8200","8200","7890","8000","719","80"
"2013-03-11","7910","8190","7910","7980","198","79.8"
"2013-03-12","7920","8000","7830","7980","122","79.8"
"2013-03-13","7830","7940","7760","7920","131","79.2"
"2013-03-14","8030","8030","7820","7900","106","79"
"2013-03-15","7950","7970","7610","7850","255","78.5"
"2013-03-18","7700","7830","7670","7670","456","76.7"
"2013-03-19","7680","7790","7660","7720","49","77.2"
"2013-03-21","7660","7820","7660","7700","176","77"
"2013-03-22","7680","7750","7680","7740","67","77.4"
"2013-03-25","7830","7830","7750","7810","49","78.1"
"2013-03-26","7750","7780","7640","7780","72","77.8"
"2013-03-27","7780","7800","7680","7800","108","78"
"2013-03-28","7500","7730","7500","7730","81","77.3"
"2013-03-29","7690","7710","7520","7710","48","77.1"
"2013-04-01","7790","7800","7630","7630","226","76.3"
"2013-04-02","7600","7610","7380","7510","304","75.1"
"2013-04-03","7430","7690","7430","7650","57","76.5"
"2013-04-04","7500","7640","7460","7590","78","75.9"
"2013-04-05","7490","7700","7470","7500","353","75"
"2013-04-08","7480","7650","7480","7560","77","75.6"
"2013-04-09","7510","7600","7400","7430","239","74.3"
"2013-04-10","7450","7700","7400","7410","275","74.1"
"2013-04-11","7500","8320","7490","8320","1100","83.2"
"2013-04-12","8020","8170","7900","8000","506","80"
"2013-04-15","8400","8500","8050","8300","719","83"
"2013-04-16","8200","8200","8000","8150","464","81.5"
"2013-04-17","8450","8450","8200","8300","485","83"
"2013-04-18","8200","8620","8200","8540","647","85.4"
"2013-04-19","8540","8670","8500","8670","166","86.7"
"2013-04-22","8670","8670","8250","8300","733","83"
"2013-04-23","8500","8500","8330","8400","231","84"
"2013-04-24","8480","8500","8270","8400","251","84"
"2013-04-25","8400","8400","8100","8310","703","83.1"
"2013-04-26","8210","8290","8090","8090","366","80.9"
"2013-04-30","8090","8200","8060","8170","170","81.7"
"2013-05-01","8170","8190","8050","8180","76","81.8"
"2013-05-02","8130","8190","8100","8110","121","81.1"
"2013-05-07","8130","8390","8100","8390","337","83.9"
"2013-05-08","8320","8400","8180","8200","314","82"
"2013-05-09","8340","8340","8180","8250","101","82.5"
"2013-05-10","8400","8590","8310","8580","1000","85.8"
"2013-05-13","8900","9410","8700","8980","2141","89.8"
"2013-05-14","9100","10480","8860","10010","3434","100.1"
"2013-05-15","10310","12800","8630","9310","12584","93.1"
"2013-05-16","9370","9950","8120","8790","1554","87.9"
"2013-05-17","8530","9000","8350","8940","789","89.4"
"2013-05-20","8910","9290","8700","9090","944","90.9"
"2013-05-21","9300","9300","8930","9200","512","92"
"2013-05-22","9400","10140","9210","10050","1818","100.5"
"2013-05-23","9610","10110","8990","8990","1657","89.9"
"2013-05-24","9490","9700","8800","9000","829","90"
"2013-05-27","8900","8910","8320","8710","546","87.1"
"2013-05-28","8790","8790","8510","8690","139","86.9"
"2013-05-29","8390","8900","8390","8820","357","88.2"
"2013-05-30","8780","8780","8300","8300","196","83"
"2013-05-31","8500","8580","8310","8580","132","85.8"
"2013-06-03","8430","8690","8200","8230","227","82.3"
"2013-06-04","8310","8500","8060","8470","389","84.7"
"2013-06-05","8450","8460","8200","8450","44","84.5"
"2013-06-06","8300","8500","7830","8130","300","81.3"
"2013-06-07","7570","8000","7000","7410","619","74.1"
"2013-06-10","7650","7890","7310","7450","219","74.5"
"2013-06-11","7450","7770","7450","7770","125","77.7"
"2013-06-12","7500","7840","7300","7530","353","75.3"
"2013-06-13","7530","7590","7400","7570","74","75.7"
"2013-06-14","7760","7770","7550","7700","283","77"
"2013-06-17","7700","7850","7520","7640","96","76.4"
"2013-06-18","7400","7980","7380","7720","249","77.2"
"2013-06-19","7900","7900","7660","7870","56","78.7"
"2013-06-20","7660","8200","7650","8200","482","82"
"2013-06-21","7750","7870","7650","7850","151","78.5"
"2013-06-24","7850","7890","7650","7650","149","76.5"
"2013-06-25","7700","7850","7600","7600","508","76"
"2013-06-26","7600","7600","7100","7150","229","71.5"
"2013-06-27","7160","7290","7000","7290","233","72.9"
"2013-06-28","7300","7600","7280","7600","171","76"
"2013-07-01","7320","7670","7320","7670","92","76.7"
"2013-07-02","7680","7760","7480","7760","125","77.6"
"2013-07-03","7760","7770","7570","7760","30","77.6"
"2013-07-04","7760","7800","7670","7750","124","77.5"
"2013-07-05","7780","7900","7510","7850","248","78.5"
"2013-07-08","7850","8220","7760","8100","402","81"
"2013-07-09","8190","8190","8000","8060","385","80.6"
"2013-07-10","8070","9290","8070","8750","2516","87.5"
"2013-07-11","8810","8810","8550","8690","778","86.9"
"2013-07-12","8970","8970","8600","8810","344","88.1"
"2013-07-16","8700","8980","8600","8850","409","88.5"
"2013-07-17","8900","8900","8580","8580","242","85.8"
