3904 マザーズ (株)カヤック（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","1561","1885","1505","1763","2333500","881.5"
"2015-01-06","1690","1845","1650","1705","933600","852.5"
"2015-01-07","1728","1845","1603","1650","828900","825"
"2015-01-08","1666","1748","1590","1595","236700","797.5"
"2015-01-09","1650","1650","1500","1533","179600","766.5"
"2015-01-13","1520","1539","1391","1420","196500","710"
"2015-01-14","1398","1474","1334","1413","169500","706.5"
"2015-01-15","1383","1415","1350","1363","82000","681.5"
"2015-01-16","1350","1475","1350","1475","100500","737.5"
"2015-01-19","1470","1475","1350","1365","138400","682.5"
"2015-01-20","1380","1388","1315","1343","98400","671.5"
"2015-01-21","1334","1394","1310","1360","65300","680"
"2015-01-22","1360","1364","1270","1271","124500","635.5"
"2015-01-23","1301","1355","1272","1350","141300","675"
"2015-01-26","1372","1479","1354","1479","112800","739.5"
"2015-01-27","1520","1610","1500","1604","221200","802"
"2015-01-28","1600","1767","1527","1653","322500","826.5"
"2015-01-29","1650","1718","1525","1525","189100","762.5"
"2015-01-30","1570","1600","1484","1587","98600","793.5"
"2015-02-02","1627","1917","1625","1726","791000","863"
"2015-02-03","1766","2080","1515","1564","1664200","782"
"2015-02-04","1644","1774","1580","1710","526300","855"
"2015-02-05","1870","1930","1750","1766","1097600","883"
"2015-02-06","1801","1944","1671","1845","504600","922.5"
"2015-02-09","1900","2225","1860","2225","1213000","1112.5"
"2015-02-10","2375","2490","2064","2200","1362600","1100"
"2015-02-12","2110","2198","2010","2062","404100","1031"
"2015-02-13","1900","2562","1871","2562","1279800","1281"
"2015-02-16","2500","2934","2450","2660","2649800","1330"
"2015-02-17","2899","3160","2850","3160","2562200","1580"
"2015-02-18","3225","3300","2880","3125","2389300","1562.5"
"2015-02-19","3405","3600","3030","3100","1541700","1550"
"2015-02-20","2910","3130","2605","2619","1211000","1309.5"
"2015-02-23","2700","2798","2623","2727","603200","1363.5"
"2015-02-24","2686","2696","2515","2617","281100","1308.5"
"2015-02-25","2567","2586","2450","2508","199300","1254"
"2015-02-26","2500","2691","2425","2626","338900","1313"
"2015-02-27","2659","2938","2650","2880","683500","1440"
"2015-03-02","2848","2990","2738","2986","271700","1493"
"2015-03-03","3040","3085","2760","2810","293900","1405"
"2015-03-04","2718","2800","2630","2710","125900","1355"
"2015-03-05","2794","2800","2680","2692","88700","1346"
"2015-03-06","2642","2675","2400","2438","385100","1219"
"2015-03-09","2452","2500","2166","2250","443400","1125"
"2015-03-10","2261","2372","2225","2323","215600","1161.5"
"2015-03-11","2300","2313","2155","2185","245200","1092.5"
"2015-03-12","2086","2145","2031","2055","258300","1027.5"
"2015-03-13","2050","2220","1980","2210","396200","1105"
"2015-03-16","2189","2255","2000","2022","246800","1011"
"2015-03-17","2016","2417","2010","2305","637000","1152.5"
"2015-03-18","2305","2390","2211","2230","209000","1115"
"2015-03-19","2180","2225","2130","2157","146400","1078.5"
"2015-03-20","2150","2270","2110","2254","160300","1127"
"2015-03-23","2319","2409","2240","2264","283000","1132"
"2015-03-24","2285","2336","2200","2295","164300","1147.5"
"2015-03-25","2345","2553","2272","2320","763400","1160"
"2015-03-26","2260","2306","2153","2193","221700","1096.5"
"2015-03-27","2203","2232","2076","2100","174100","1050"
"2015-03-30","2149","2150","2026","2054","140000","1027"
"2015-03-31","2057","2124","2057","2101","70900","1050.5"
"2015-04-01","2100","2138","2052","2064","57700","1032"
"2015-04-02","2050","2070","1992","2020","125500","1010"
"2015-04-03","2010","2031","1997","2010","49000","1005"
"2015-04-06","1990","1995","1900","1926","116800","963"
"2015-04-07","1930","2088","1927","2088","153900","1044"
"2015-04-08","2150","2581","2088","2581","673800","1290.5"
"2015-04-09","2650","2839","2472","2547","1185700","1273.5"
"2015-04-10","2626","2770","2550","2700","565100","1350"
"2015-04-13","2848","3025","2780","2938","822600","1469"
"2015-04-14","2845","2895","2702","2725","316400","1362.5"
