3904 マザーズ (株)カヤック（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","1054","1067","1040","1055","56300","1055"
"2017-01-05","1065","1140","1056","1137","207500","1137"
"2017-01-06","1137","1163","1126","1162","161900","1162"
"2017-01-10","1186","1216","1140","1157","201700","1157"
"2017-01-11","1157","1157","1111","1117","74700","1117"
"2017-01-12","1110","1123","1082","1114","67900","1114"
"2017-01-13","1114","1149","1114","1142","50400","1142"
"2017-01-16","1149","1160","1112","1120","55400","1120"
"2017-01-17","1121","1136","1100","1123","42500","1123"
"2017-01-18","1114","1130","1105","1126","34600","1126"
"2017-01-19","1136","1155","1095","1096","84800","1096"
"2017-01-20","1285","1289","1177","1192","1388100","1192"
"2017-01-23","1194","1213","1168","1206","173200","1206"
"2017-01-24","1205","1215","1171","1195","127100","1195"
"2017-01-25","1207","1212","1183","1206","91000","1206"
"2017-01-26","1220","1295","1211","1272","410300","1272"
"2017-01-27","1293","1332","1257","1268","265900","1268"
"2017-01-30","1273","1307","1251","1266","98800","1266"
"2017-01-31","1250","1266","1228","1260","110600","1260"
"2017-02-01","1249","1265","1200","1240","113400","1240"
"2017-02-02","1250","1253","1201","1201","89200","1201"
"2017-02-03","1201","1225","1174","1187","125100","1187"
"2017-02-06","1200","1242","1197","1235","85100","1235"
"2017-02-07","1230","1289","1222","1260","165100","1260"
"2017-02-08","1260","1298","1234","1285","135400","1285"
"2017-02-09","1300","1320","1285","1290","164200","1290"
"2017-02-10","1290","1305","1252","1260","97600","1260"
"2017-02-13","1265","1310","1262","1272","133100","1272"
"2017-02-14","1296","1318","1282","1317","200800","1317"
"2017-02-15","1383","1410","1355","1362","543200","1362"
"2017-02-16","1365","1427","1345","1404","365700","1404"
"2017-02-17","1384","1389","1333","1389","205000","1389"
"2017-02-20","1390","1440","1390","1425","203800","1425"
"2017-02-21","1435","1444","1366","1390","175600","1390"
"2017-02-22","1399","1414","1370","1400","105600","1400"
"2017-02-23","1386","1402","1352","1390","87200","1390"
"2017-02-24","1404","1439","1393","1409","167300","1409"
"2017-02-27","1403","1405","1361","1378","83900","1378"
"2017-02-28","1398","1436","1380","1421","149100","1421"
"2017-03-01","1420","1420","1380","1410","72500","1410"
"2017-03-02","1420","1421","1386","1394","59200","1394"
"2017-03-03","1384","1439","1384","1438","183700","1438"
"2017-03-06","1459","1505","1456","1501","476100","1501"
"2017-03-07","1501","1532","1451","1472","289800","1472"
"2017-03-08","1479","1535","1458","1520","202000","1520"
"2017-03-09","1538","1538","1473","1497","199300","1497"
"2017-03-10","1520","1520","1447","1469","172500","1469"
"2017-03-13","1476","1492","1395","1402","217700","1402"
"2017-03-14","1381","1423","1349","1411","189200","1411"
"2017-03-15","1396","1397","1338","1358","137400","1358"
"2017-03-16","1332","1360","1305","1329","201000","1329"
"2017-03-17","1320","1324","1263","1295","183500","1295"
"2017-03-21","1260","1304","1242","1289","179800","1289"
"2017-03-22","1257","1273","1241","1241","125500","1241"
"2017-03-23","1235","1532","1215","1376","2470500","1376"
"2017-03-24","1400","1406","1280","1299","690900","1299"
"2017-03-27","1260","1268","1235","1241","266800","1241"
"2017-03-28","1246","1267","1234","1257","123500","1257"
"2017-03-29","1259","1265","1235","1246","158400","1246"
"2017-03-30","1260","1297","1243","1256","201900","1256"
"2017-03-31","1268","1271","1247","1248","89800","1248"
"2017-04-03","1242","1257","1174","1198","239300","1198"
"2017-04-04","1189","1221","1150","1200","175100","1200"
"2017-04-05","1188","1220","1130","1157","197500","1157"
"2017-04-06","1157","1157","1090","1111","167300","1111"
"2017-04-07","1127","1169","1102","1132","116700","1132"
"2017-04-10","1143","1163","1131","1134","45300","1134"
"2017-04-11","1126","1138","1097","1102","135900","1102"
"2017-04-12","1089","1089","1037","1057","151500","1057"
"2017-04-13","1018","1100","1016","1100","156500","1100"
"2017-04-14","1075","1180","1057","1102","169400","1102"
"2017-04-17","1120","1194","1120","1178","204500","1178"
"2017-04-18","1214","1217","1160","1166","141200","1166"
"2017-04-19","1146","1222","1143","1175","148600","1175"
"2017-04-20","1174","1229","1174","1194","113900","1194"
"2017-04-21","1200","1225","1183","1210","79700","1210"
"2017-04-24","1222","1231","1150","1156","108700","1156"
"2017-04-25","1145","1180","1140","1165","81200","1165"
"2017-04-26","1180","1200","1163","1189","52400","1189"
"2017-04-27","1180","1195","1177","1195","36100","1195"
"2017-04-28","1197","1197","1157","1158","52000","1158"
"2017-05-01","1159","1195","1159","1165","43900","1165"
"2017-05-02","1189","1309","1171","1255","575600","1255"
"2017-05-08","1261","1270","1218","1227","215500","1227"
"2017-05-09","1218","1240","1207","1228","65400","1228"
"2017-05-10","1222","1235","1222","1228","46800","1228"
"2017-05-11","1220","1232","1204","1222","137100","1222"
"2017-05-12","1342","1422","1326","1403","1329900","1403"
"2017-05-15","1379","1408","1330","1375","276400","1375"
"2017-05-16","1380","1398","1336","1355","160400","1355"
"2017-05-17","1348","1352","1302","1316","268900","1316"
"2017-05-18","1257","1291","1250","1268","288300","1268"
