7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","24000","24000","23330","23340","26200","23340"
"2011-01-05","23010","23320","22630","22850","45000","22850"
"2011-01-06","23180","23530","23170","23450","28600","23450"
"2011-01-07","23630","23740","23520","23580","16900","23580"
"2011-01-11","23810","24220","23750","24000","27300","24000"
"2011-01-12","24040","24140","23640","23640","36100","23640"
"2011-01-13","23810","24030","23690","24000","19900","24000"
"2011-01-14","24000","24070","23800","23860","30800","23860"
"2011-01-17","23890","24260","23890","24160","21200","24160"
"2011-01-18","24210","24210","23970","24090","11900","24090"
"2011-01-19","24250","24310","24040","24070","15500","24070"
"2011-01-20","24110","24110","23050","23080","92400","23080"
"2011-01-21","22900","22900","22420","22580","52200","22580"
"2011-01-24","22580","22610","22140","22600","25300","22600"
"2011-01-25","22650","22980","22610","22690","33000","22690"
"2011-01-26","22640","22640","22320","22320","14500","22320"
"2011-01-27","22310","22710","22310","22570","20600","22570"
"2011-01-28","22660","22880","22110","22130","29300","22130"
"2011-01-31","22000","22440","21720","22270","47000","22270"
"2011-02-01","22460","22750","22420","22510","19300","22510"
"2011-02-02","22960","23060","22010","22960","25900","22960"
"2011-02-03","23210","23250","22710","22850","12400","22850"
"2011-02-04","22970","23000","22790","22840","13800","22840"
"2011-02-07","22840","22970","22790","22890","9600","22890"
"2011-02-08","22970","23050","22960","23030","6900","23030"
"2011-02-09","23130","23190","23120","23160","15000","23160"
"2011-02-10","23350","24070","23270","24000","37900","24000"
"2011-02-14","24360","24410","24090","24150","15500","24150"
"2011-02-15","24340","24520","24240","24390","27400","24390"
"2011-02-16","24700","25470","24600","25380","38200","25380"
"2011-02-17","25780","26790","25500","25550","91600","25550"
"2011-02-18","25190","25540","24000","25370","49900","25370"
"2011-02-21","25450","26150","25450","25650","26200","25650"
"2011-02-22","25610","25680","24720","24730","34600","24730"
"2011-02-23","24350","25050","24230","24300","40600","24300"
"2011-02-24","24370","24420","24080","24130","22200","24130"
"2011-02-25","24200","24830","24200","24810","29200","24810"
"2011-02-28","24500","24560","23970","23990","54100","23990"
"2011-03-01","24250","24520","24020","24180","24700","24180"
"2011-03-02","23910","23920","23240","23240","48700","23240"
"2011-03-03","23120","23700","22940","23170","32400","23170"
"2011-03-04","23670","23840","23270","23350","27200","23350"
"2011-03-07","22940","23110","22820","22890","26200","22890"
"2011-03-08","23000","23080","22840","22910","18600","22910"
"2011-03-09","23170","23770","23170","23670","24700","23670"
"2011-03-10","23580","23650","23110","23120","24800","23120"
"2011-03-11","23010","23210","23000","23030","241700","23030"
"2011-03-14","20530","22000","20480","21280","59500","21280"
"2011-03-15","20900","21070","20000","20610","92500","20610"
"2011-03-16","21260","22290","21260","22010","60500","22010"
"2011-03-17","21010","21490","20750","21250","44000","21250"
"2011-03-18","21340","21800","21340","21600","40800","21600"
"2011-03-22","22300","22430","22090","22320","29100","22320"
"2011-03-23","22120","22750","22120","22470","19000","22470"
"2011-03-24","22500","22540","22050","22050","35500","22050"
"2011-03-25","22390","22390","22120","22240","35800","22240"
"2011-03-28","22250","22250","22000","22240","26600","22240"
"2011-03-29","21930","22030","21540","21780","38500","21780"
"2011-03-30","21850","22350","21740","22350","38600","22350"
"2011-03-31","22690","22750","22100","22750","31800","22750"
"2011-04-01","22400","22550","22050","22140","25600","22140"
"2011-04-04","22340","22340","22140","22150","10500","22150"
"2011-04-05","22120","22160","21850","21920","14800","21920"
"2011-04-06","21960","21960","21510","21700","15300","21700"
"2011-04-07","21500","21560","20780","20970","26900","20970"
"2011-04-08","20470","20690","20060","20590","47800","20590"
"2011-04-11","20630","21180","20630","21050","22400","21050"
"2011-04-12","20950","21090","20560","20680","14200","20680"
"2011-04-13","20700","21150","20530","20720","13400","20720"
"2011-04-14","20790","20790","20510","20640","15300","20640"
"2011-04-15","20880","21100","20630","20710","14500","20710"
"2011-04-18","20790","20860","20260","20270","23600","20270"
"2011-04-19","20100","20310","20010","20170","24800","20170"
"2011-04-20","20300","20400","20190","20320","9200","20320"
"2011-04-21","20380","20380","20140","20250","6400","20250"
"2011-04-22","20150","20200","20090","20120","7400","20120"
"2011-04-25","20150","20400","20150","20280","5400","20280"
"2011-04-26","19940","20040","19350","20020","41800","20020"
"2011-04-27","20000","20020","19760","19810","16700","19810"
"2011-04-28","19630","19630","19120","19230","37400","19230"
"2011-05-02","19440","19900","19370","19860","14700","19860"
"2011-05-06","19540","19890","19540","19790","5700","19790"
